Device,Model,MaxNumSeqs,MaxNumBatchedTokens,TensorParallelSize,MaxModelLen,Dataset,InputLen,OutputLen,ExpectedETEL,NumPrompts
b200-8,meta-llama/Llama-3.1-8B-Instruct,1024,262144,1,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-8B-Instruct,1024,262144,1,2048,sonnet,1800,128,,3000
b200-8,meta-llama/Llama-3.1-8B-Instruct,1024,262144,1,2048,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-8B-Instruct,1024,524288,1,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-8B-Instruct,1024,524288,1,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-8B-Instruct,1024,524288,1,2048,sonnet,1800,128,,3000
b200-8,meta-llama/Llama-3.1-8B-Instruct,1024,524288,1,2048,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-8B-Instruct,1024,1048576,1,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-8B-Instruct,1024,1048576,1,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-8B-Instruct,1024,1048576,1,2048,sonnet,1800,128,,3000
b200-8,meta-llama/Llama-3.1-8B-Instruct,1024,1048576,1,2048,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-8B-Instruct,2048,131072,1,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-8B-Instruct,2048,131072,1,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-8B-Instruct,2048,131072,1,2048,sonnet,1800,128,,3000
b200-8,meta-llama/Llama-3.1-8B-Instruct,2048,131072,1,2048,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-8B-Instruct,2048,262144,1,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-8B-Instruct,2048,262144,1,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-8B-Instruct,2048,262144,1,2048,sonnet,1800,128,,3000
b200-8,meta-llama/Llama-3.1-8B-Instruct,2048,262144,1,2048,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-8B-Instruct,2048,524288,1,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-8B-Instruct,2048,524288,1,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-8B-Instruct,2048,524288,1,2048,sonnet,1800,128,,3000
b200-8,meta-llama/Llama-3.1-8B-Instruct,2048,524288,1,2048,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-8B-Instruct,2048,1048576,1,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-8B-Instruct,2048,1048576,1,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-8B-Instruct,2048,1048576,1,2048,sonnet,1800,128,,3000
b200-8,meta-llama/Llama-3.1-8B-Instruct,2048,1048576,1,2048,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-8B-Instruct,4096,131072,1,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-8B-Instruct,4096,131072,1,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-8B-Instruct,4096,131072,1,2048,sonnet,1800,128,,3000
b200-8,meta-llama/Llama-3.1-8B-Instruct,4096,131072,1,2048,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-8B-Instruct,4096,262144,1,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-8B-Instruct,4096,262144,1,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-8B-Instruct,4096,262144,1,2048,sonnet,1800,128,,3000
